Countries or Regions,Currency Code,Price
Afghanistan,USD,4.99
Albania,USD,5.99
Algeria,USD,4.99
Angola,USD,4.99
Anguilla,USD,4.99
Antigua and Barbuda,USD,4.99
Argentina,USD,4.99
Armenia,USD,5.99
Australia,AUD,7.99
Austria,EUR,5.99
Azerbaijan,USD,5.99
Bahamas,USD,4.99
Bahrain,USD,4.99
Barbados,USD,5.99
Belarus,USD,5.99
Belgium,EUR,5.99
Belize,USD,4.99
Benin,USD,5.99
Bermuda,USD,4.99
Bhutan,USD,4.99
Bolivia,USD,4.99
Bosnia and Herzegovina,EUR,5.99
Botswana,USD,4.99
Brazil,BRL,29.9
British Virgin Islands,USD,4.99
Brunei,USD,4.99
Bulgaria,BGN,9.99
Burkina Faso,USD,4.99
Cambodia,USD,4.99
Cameroon,USD,5.99
Canada,CAD,6.99
Cape Verde,USD,4.99
Cayman Islands,USD,4.99
Chad,USD,4.99
Chile,CLP,5990
China mainland,CNY,38.0
Colombia,COP,24900.0
"Congo, Democratic Republic of the",USD,4.99
"Congo, Republic of the",USD,4.99
Costa Rica,USD,4.99
Côte d’Ivoire,USD,5.99
Croatia,EUR,5.99
Cyprus,EUR,5.99
Czech Republic,CZK,129.0
Denmark,DKK,39.0
Dominica,USD,4.99
Dominican Republic,USD,4.99
Ecuador,USD,4.99
Egypt,EGP,249.99
El Salvador,USD,4.99
Estonia,EUR,5.99
Eswatini,USD,4.99
Fiji,USD,4.99
Finland,EUR,5.99
France,EUR,5.99
Gabon,USD,4.99
Gambia,USD,4.99
Georgia,USD,5.99
Germany,EUR,5.99
Ghana,USD,5.99
Greece,EUR,5.99
Grenada,USD,4.99
Guatemala,USD,4.99
Guinea-Bissau,USD,4.99
Guyana,USD,4.99
Honduras,USD,4.99
Hong Kong,HKD,38.0
Hungary,HUF,1990
Iceland,USD,5.99
India,INR,499.0
Indonesia,IDR,89000
Iraq,USD,4.99
Ireland,EUR,5.99
Israel,ILS,17.9
Italy,EUR,5.99
Jamaica,USD,4.99
Japan,JPY,800
Jordan,USD,4.99
Kazakhstan,KZT,2990.0
Kenya,USD,5.99
"Korea, Republic of",KRW,6600
Kosovo,EUR,5.99
Kuwait,USD,4.99
Kyrgyzstan,USD,4.99
Laos,USD,4.99
Latvia,EUR,5.99
Lebanon,USD,4.99
Liberia,USD,4.99
Libya,USD,4.99
Lithuania,EUR,5.99
Luxembourg,EUR,5.99
Macau,USD,4.99
Madagascar,USD,4.99
Malawi,USD,4.99
Malaysia,MYR,22.9
Maldives,USD,4.99
Mali,USD,4.99
Malta,EUR,5.99
Mauritania,USD,4.99
Mauritius,USD,4.99
Mexico,MXN,99.0
Micronesia,USD,4.99
Moldova,USD,5.99
Mongolia,USD,4.99
Montenegro,EUR,4.99
Montserrat,USD,4.99
Morocco,USD,4.99
Mozambique,USD,4.99
Myanmar,USD,4.99
Namibia,USD,4.99
Nauru,USD,4.99
Nepal,USD,5.99
Netherlands,EUR,5.99
New Zealand,NZD,9.99
Nicaragua,USD,4.99
Niger,USD,4.99
Nigeria,NGN,7900.0
North Macedonia,USD,4.99
Norway,NOK,59.0
Oman,USD,4.99
Pakistan,PKR,1300.0
Palau,USD,4.99
Panama,USD,4.99
Papua New Guinea,USD,4.99
Paraguay,USD,4.99
Peru,PEN,22.9
Philippines,PHP,299.0
Poland,PLN,24.99
Portugal,EUR,5.99
Qatar,QAR,19.99
Romania,RON,29.99
Russia,RUB,449.0
Rwanda,USD,4.99
São Tomé and Príncipe,USD,4.99
Saudi Arabia,SAR,19.99
Senegal,USD,5.99
Serbia,EUR,5.99
Seychelles,USD,4.99
Sierra Leone,USD,4.99
Singapore,SGD,6.98
Slovakia,EUR,5.99
Slovenia,EUR,5.99
Solomon Islands,USD,4.99
South Africa,ZAR,99.99
Spain,EUR,5.99
Sri Lanka,USD,4.99
St. Kitts and Nevis,USD,4.99
St. Lucia,USD,4.99
St. Vincent and the Grenadines,USD,4.99
Suriname,USD,4.99
Sweden,SEK,69.0
Switzerland,CHF,4.0
Taiwan,TWD,150
Tajikistan,USD,4.99
Tanzania,TZS,14900.0
Thailand,THB,199.0
Tonga,USD,4.99
Trinidad and Tobago,USD,4.99
Tunisia,USD,4.99
Türkiye,TRY,249.99
Turkmenistan,USD,4.99
Turks and Caicos Islands,USD,4.99
Uganda,USD,5.99
Ukraine,USD,5.99
United Arab Emirates,AED,19.99
United Kingdom,GBP,4.99
United States,USD,4.99
Uruguay,USD,4.99
Uzbekistan,USD,4.99
Vanuatu,USD,4.99
Venezuela,USD,4.99
Vietnam,VND,149000
Yemen,USD,4.99
Zambia,USD,5.99
Zimbabwe,USD,5.99